Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
49851,00000400,false,Rx,0,8,00,0B,56,F0,00,01,09,A5,
54851,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,09,71,
59851,00000410,false,Rx,0,8,3F,00,AA,30,00,FF,08,52,
64851,00000102,false,Rx,0,8,00,00,19,4F,51,CD,02,C8,
69851,00000103,false,Rx,0,8,02,00,02,00,00,00,02,02,
74851,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,04,99,
79851,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
84851,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,08,08,
89851,00000231,false,Rx,0,8,00,01,00,00,00,00,03,02,
94851,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
99851,00000010,false,Rx,0,8,00,FF,61,30,00,00,03,AD,
104851,00000102,false,Rx,0,8,00,00,19,4F,51,CD,03,C9,
109851,00000103,false,Rx,0,8,02,00,02,00,00,00,03,03,
114851,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,05,98,
119851,00000110,false,Rx,0,8,00,00,00,7B,01,05,0A,75,
124851,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
129851,00000231,false,Rx,0,8,00,01,00,00,00,00,04,05,
134851,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
139851,00000316,false,Rx,0,8,13,AD,01,27,4E,00,00,00,
144851,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
149851,00000342,false,Rx,0,8,03,C2,99,99,93,00,03,90,
154851,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
159851,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
164851,00000010,false,Rx,0,8,00,FF,61,30,00,00,04,AA,
169851,00000012,false,Rx,0,8,99,99,32,00,00,00,02,30,
174851,00000013,false,Rx,0,8,FF,01,09,00,00,00,00,00,
179851,00000102,false,Rx,0,8,00,00,19,4F,51,CD,04,CE,
184851,00000103,false,Rx,0,8,02,00,02,00,00,00,04,04,
