Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1453387832,00000231,false,Rx,0,8,00,01,00,00,00,00,05,04,
1453388046,00000010,false,Rx,0,8,00,FF,61,30,00,00,0E,A0,
1453388290,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
1453388534,00000012,false,Rx,0,8,99,99,32,00,01,00,0F,3C,
1453388767,00000013,false,Rx,0,8,FF,01,09,00,00,00,00,00,
1453390121,00000102,false,Rx,0,8,00,00,19,54,56,CD,03,D5,
1453390367,00000103,false,Rx,0,8,02,00,02,00,00,00,03,03,
1453390616,00000122,false,Rx,0,8,D3,23,00,CA,1C,E2,05,C1,
1453391091,00000110,false,Rx,0,8,00,00,00,7B,01,05,0A,75,
1453391365,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
1453391566,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
1453391802,00000316,false,Rx,0,8,13,AD,01,2B,53,00,00,00,
1453392043,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
1453392295,00000342,false,Rx,0,8,03,C2,99,99,7C,00,03,90,
1453392540,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
1453393846,00000400,false,Rx,0,8,00,0B,58,F0,00,01,02,A0,
1453394090,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,02,7A,
1453394365,00000410,false,Rx,0,8,43,00,00,00,00,FF,01,BD,
1453394665,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
1453394942,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,01,01,
1453398807,00000231,false,Rx,0,8,00,01,00,00,00,00,06,07,
1453399041,00000010,false,Rx,0,8,00,FF,61,30,00,00,0F,A1,
1453399310,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
1453400141,00000102,false,Rx,0,8,00,00,19,54,56,CD,04,D2,
1453400388,00000103,false,Rx,0,8,02,00,02,00,00,00,04,04,
1453400591,00000122,false,Rx,0,8,D3,23,00,CA,1C,E2,06,C2,
1453409826,00000231,false,Rx,0,8,00,01,00,00,00,00,07,06,
1453410041,00000010,false,Rx,0,8,00,FF,61,30,00,00,00,AE,
1453410271,00000102,false,Rx,0,8,00,00,19,54,56,CD,05,D3,
1453410513,00000012,false,Rx,0,8,99,99,32,00,00,00,00,32,
1453410767,00000103,false,Rx,0,8,02,00,02,00,00,00,05,05,
1453411016,00000110,false,Rx,0,8,00,00,00,7B,01,05,0B,74,
1453411242,00000122,false,Rx,0,8,D3,23,00,CA,1C,E2,07,C3,
1453411466,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
1453411713,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
1453411968,00000316,false,Rx,0,8,13,AD,01,2B,53,00,00,00,
1453412219,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
1453412440,00000342,false,Rx,0,8,03,C2,99,99,7C,00,03,90,
1453412689,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
1453412943,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
1453414870,00000400,false,Rx,0,8,00,0B,58,F0,00,01,03,A1,
1453415157,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,03,7B,
1453415420,00000410,false,Rx,0,8,43,00,00,00,00,FF,03,BF,
1453415692,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
1453415968,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,03,03,
1453420135,00000102,false,Rx,0,8,00,00,19,54,56,CD,06,D0,
1453420365,00000103,false,Rx,0,8,02,00,02,00,00,00,06,06,
1453420614,00000122,false,Rx,0,8,D3,23,00,CA,1C,E2,08,CC,
1453420842,00000231,false,Rx,0,8,00,01,00,00,00,00,08,09,
1453421094,00000010,false,Rx,0,8,00,FF,61,30,00,00,01,AF,
1453421363,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
1453430152,00000102,false,Rx,0,8,00,00,19,54,56,CD,07,D1,
1453430367,00000103,false,Rx,0,8,02,00,02,00,00,00,07,07,
1453430643,00000122,false,Rx,0,8,D3,23,00,CA,1C,E2,09,CD,
1453431094,00000110,false,Rx,0,8,00,00,00,7B,01,05,0C,73,
1453431367,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
1453431566,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
1453431804,00000316,false,Rx,0,8,13,AD,01,2B,53,00,00,00,
1453432044,00000010,false,Rx,0,8,00,FF,61,30,00,00,02,AC,
1453432296,00000231,false,Rx,0,8,00,01,00,00,00,00,09,08,
1453432541,00000012,false,Rx,0,8,99,99,32,00,01,00,01,32,
1453432792,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
1453433017,00000332,false,Rx,0,8,01,00,00,00,00,00,03,02,
1453433269,00000342,false,Rx,0,8,03,C2,99,99,7C,00,03,90,
1453433500,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
1453433742,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
1453434044,00000530,false,Rx,0,8,FF,FF,70,4B,64,04,49,00,
1453435842,00000400,false,Rx,0,8,00,0B,58,F0,00,01,04,A6,
1453436091,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,04,7C,
1453436367,00000410,false,Rx,0,8,43,00,00,00,00,FF,04,B8,
1453436642,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
1453436918,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,04,04,
1453440163,00000102,false,Rx,0,8,00,00,19,54,56,CD,08,DE,
1453440368,00000103,false,Rx,0,8,02,00,02,00,00,00,08,08,
1453440592,00000122,false,Rx,0,8,D3,23,00,CA,1C,E2,0A,CE,
1453442811,00000231,false,Rx,0,8,00,01,00,00,00,00,0A,0B,
1453443043,00000010,false,Rx,0,8,00,FF,61,30,00,00,03,AD,
1453443291,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
1453443541,00000013,false,Rx,0,8,FF,01,09,00,00,00,00,00,
1453450163,00000102,false,Rx,0,8,00,00,19,54,56,CD,09,DF,
1453450367,00000103,false,Rx,0,8,02,00,02,00,00,00,09,09,
1453450592,00000122,false,Rx,0,8,D3,23,00,CA,1C,E2,0B,CF,
1453450844,00000110,false,Rx,0,8,00,00,00,7B,01,05,0D,72,
1453451097,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
1453451366,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
1453451566,00000316,false,Rx,0,8,13,AD,01,2B,53,00,00,00,
1453451846,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
1453452045,00000342,false,Rx,0,8,03,C2,99,99,7C,00,03,90,
1453452295,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
1453453834,00000231,false,Rx,0,8,00,01,00,00,00,00,0B,0A,
1453454042,00000010,false,Rx,0,8,00,FF,61,30,00,00,04,AA,
1453454291,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
1453454527,00000012,false,Rx,0,8,99,99,32,00,00,00,02,30,
1453456866,00000400,false,Rx,0,8,00,0B,58,F0,00,01,05,A7,
1453457091,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,05,7D,
1453457364,00000410,false,Rx,0,8,43,00,00,00,00,FF,05,B9,
1453457642,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
