Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1145,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,05,A1,
1369,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,05,7D,
1644,00000410,false,Rx,0,8,37,00,AA,40,00,FF,05,27,
1945,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
2217,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,05,05,
7088,00000231,false,Rx,0,8,00,02,00,00,00,00,0D,0F,
7343,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
11080,00000332,false,Rx,0,8,01,00,00,00,00,00,07,06,
11319,00000530,false,Rx,0,8,FF,FF,79,83,27,11,D2,00,
18135,00000231,false,Rx,0,8,00,02,00,00,00,00,0E,0C,
18371,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
22120,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,07,A3,
22370,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,07,7F,
22643,00000410,false,Rx,0,8,37,00,AA,41,00,FF,06,25,
22920,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
23194,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,06,06,
29179,00000231,false,Rx,0,8,00,02,00,00,00,00,0F,0D,
29381,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
40126,00000231,false,Rx,0,8,00,02,00,00,00,00,00,02,
40382,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
43139,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,07,A3,
43370,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,07,7F,
43645,00000410,false,Rx,0,8,37,00,AA,41,00,FF,07,24,
43922,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
44196,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,07,07,
51166,00000231,false,Rx,0,8,00,02,00,00,00,00,02,00,
51393,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
62129,00000231,false,Rx,0,8,00,02,00,00,00,00,02,00,
62391,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
64375,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,09,AD,
64388,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,09,71,
64670,00000410,false,Rx,0,8,37,00,AA,41,00,FF,08,2B,
65095,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
65170,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,08,08,
73442,00000231,false,Rx,0,8,00,02,00,00,00,00,04,06,
73457,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
84330,00000231,false,Rx,0,8,00,02,00,00,00,00,05,07,
84375,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
85344,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,0A,AE,
85385,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,0A,72,
85711,00000410,false,Rx,0,8,3B,00,AA,41,00,FF,09,26,
86011,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
86204,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,09,09,
95329,00000231,false,Rx,0,8,00,01,00,00,00,00,06,07,
95398,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
106235,00000231,false,Rx,0,8,00,01,00,00,00,00,07,06,
106447,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,0B,AF,
106896,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,0B,73,
106934,00000410,false,Rx,0,8,3B,00,AA,50,00,FF,0A,34,
107321,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
107506,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,0A,0A,
107960,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
112329,00000332,false,Rx,0,8,01,00,00,00,00,00,08,09,
112377,00000530,false,Rx,0,8,FF,FF,79,83,27,11,D2,00,
117380,00000231,false,Rx,0,8,00,01,00,00,00,00,08,09,
117396,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
127376,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,0C,A8,
127429,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,0C,74,
127672,00000410,false,Rx,0,8,3B,00,AA,50,00,FF,0B,35,
128094,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
128246,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,0B,0B,
128692,00000231,false,Rx,0,8,00,01,00,00,00,00,09,08,
128834,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
139360,00000231,false,Rx,0,8,00,01,00,00,00,00,0A,0B,
139397,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
148375,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,0D,A9,
148429,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,0D,75,
148697,00000410,false,Rx,0,8,3B,00,AA,50,00,FF,0C,32,
148976,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
