Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
89161,00000103,false,Rx,0,8,02,00,02,00,00,00,05,05,
94161,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,07,9A,
99161,00000110,false,Rx,0,8,00,00,00,7B,01,05,0B,74,
104161,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
109161,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
114161,00000316,false,Rx,0,8,13,AD,01,27,4E,00,00,00,
119161,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
124161,00000342,false,Rx,0,8,03,C2,99,99,94,00,03,90,
129161,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
134161,00000010,false,Rx,0,8,00,FF,61,30,00,00,0C,A2,
139161,00000012,false,Rx,0,8,99,99,32,00,00,00,0E,3C,
144161,00000231,false,Rx,0,8,00,01,00,00,00,00,09,08,
149161,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
154161,00000102,false,Rx,0,8,00,00,19,50,51,CD,06,D3,
159161,00000103,false,Rx,0,8,02,00,02,00,00,00,06,06,
164161,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,08,95,
169161,00000010,false,Rx,0,8,00,FF,61,30,00,00,0D,A3,
174161,00000400,false,Rx,0,8,00,0B,56,F0,00,01,0C,A0,
179161,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,0C,74,
184161,00000410,false,Rx,0,8,3B,00,AA,31,00,FF,0C,53,
189161,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
194161,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,0C,0C,
199161,00000231,false,Rx,0,8,00,01,00,00,00,00,0A,0B,
204161,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
209161,00000102,false,Rx,0,8,00,00,19,50,51,CD,07,D2,
214161,00000103,false,Rx,0,8,02,00,02,00,00,00,07,07,
219161,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,09,94,
224161,00000110,false,Rx,0,8,00,00,00,7B,01,05,0C,73,
229161,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
234161,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
239161,00000316,false,Rx,0,8,13,AD,01,27,4E,00,00,00,
244161,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
249161,00000342,false,Rx,0,8,03,C2,99,99,94,00,03,90,
254161,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
259161,00000010,false,Rx,0,8,00,FF,61,30,00,00,0E,A0,
264161,00000012,false,Rx,0,8,99,99,32,00,01,00,0F,3C,
269161,00000013,false,Rx,0,8,FF,01,09,00,00,00,00,00,
274161,00000231,false,Rx,0,8,00,01,00,00,00,00,0B,0A,
279161,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
284161,00000102,false,Rx,0,8,00,00,19,50,51,CD,08,DD,
289161,00000103,false,Rx,0,8,02,00,02,00,00,00,08,08,
294161,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,0A,97,
299161,00000010,false,Rx,0,8,00,FF,61,30,00,00,0F,A1,
